"項次","分類代碼","分類名稱","法規名稱","法規類別","法規狀態","公發布日","最新異動日期","資料型態","條文數","JSON","原始網址","下載結果"
"1","02","行政院公共工程委員會企劃處","政府採購法","","","民國 87 年 05 月 27 日","民國 108 年 05 月 22 日","逐條法規","123","政府採購法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL000659","成功"
"2","02","行政院公共工程委員會企劃處","採購評選委員會組織準則","","","民國 88 年 05 月 21 日","民國 115 年 05 月 08 日","逐條法規","11","採購評選委員會組織準則.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL000728","成功"
"3","02","行政院公共工程委員會企劃處","機關指定地區採購房地產作業辦法","","","民國 88 年 05 月 06 日","民國 114 年 11 月 20 日","逐條法規","14","機關指定地區採購房地產作業辦法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL000673","成功"
"4","02","行政院公共工程委員會企劃處","機關委託技術服務廠商評選及計費辦法","","","民國 88 年 05 月 17 日","民國 114 年 05 月 23 日","逐條法規","41","機關委託技術服務廠商評選及計費辦法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL000676","成功"
"5","02","行政院公共工程委員會企劃處","機關委託專業服務廠商評選及計費辦法","","","民國 88 年 05 月 17 日","民國 114 年 05 月 23 日","逐條法規","20","機關委託專業服務廠商評選及計費辦法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL000675","成功"
"6","02","行政院公共工程委員會企劃處","機關委託資訊服務廠商評選及計費辦法","","","民國 88 年 05 月 17 日","民國 114 年 05 月 23 日","逐條法規","23","機關委託資訊服務廠商評選及計費辦法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL000677","成功"
"7","02","行政院公共工程委員會企劃處","機關辦理設計競賽廠商評選及計費辦法","","","民國 88 年 05 月 06 日","民國 114 年 05 月 23 日","逐條法規","18","機關辦理設計競賽廠商評選及計費辦法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL000672","成功"
"8","02","行政院公共工程委員會企劃處","機關採購工作及審查小組設置及作業辦法","","","民國 108 年 11 月 22 日","民國 114 年 04 月 28 日","逐條法規","10","機關採購工作及審查小組設置及作業辦法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=GL000069","成功"
"9","02","行政院公共工程委員會企劃處","最有利標評選辦法","","","民國 88 年 05 月 17 日","民國 114 年 01 月 21 日","逐條法規","25","最有利標評選辦法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL000679","成功"
"10","02","行政院公共工程委員會企劃處","採購評選委員會審議規則","","","民國 88 年 05 月 21 日","民國 110 年 11 月 04 日","逐條法規","19","採購評選委員會審議規則.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL000727","成功"
"11","02","行政院公共工程委員會企劃處","機關邀請或委託文化藝術專業人士機構團體提供藝文服務作業辦法","","","民國 91 年 07 月 15 日","民國 110 年 09 月 11 日","逐條法規","11","機關邀請或委託文化藝術專業人士機構團體提供藝文服務作業辦法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL000730","成功"
"12","02","行政院公共工程委員會企劃處","政府採購法施行細則","","","民國 88 年 05 月 21 日","民國 110 年 07 月 14 日","逐條法規","127","政府採購法施行細則.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL000660","成功"
"13","02","行政院公共工程委員會企劃處","共同供應契約實施辦法","","","民國 88 年 05 月 17 日","民國 108 年 11 月 22 日","逐條法規","15","共同供應契約實施辦法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL000680","成功"
"14","02","行政院公共工程委員會企劃處","機關委託社會福利服務廠商評選及計費辦法","","","民國 108 年 11 月 22 日","","逐條法規","21","機關委託社會福利服務廠商評選及計費辦法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=GL000070","成功"
"15","02","行政院公共工程委員會企劃處","機關辦理涉及國家安全採購之廠商資格限制條件及審查作業辦法","","","民國 108 年 11 月 20 日","","逐條法規","6","機關辦理涉及國家安全採購之廠商資格限制條件及審查作業辦法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=GL000068","成功"
"16","02","行政院公共工程委員會企劃處","押標金保證金暨其他擔保作業辦法","","","民國 88 年 05 月 17 日","民國 108 年 11 月 18 日","逐條法規","42","押標金保證金暨其他擔保作業辦法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL000678","成功"
"17","02","行政院公共工程委員會企劃處","採購專業人員資格考試訓練發證及管理辦法","","","民國 92 年 01 月 29 日","民國 108 年 11 月 14 日","逐條法規","24","採購專業人員資格考試訓練發證及管理辦法.json","https://lawweb.pcc.gov.tw/LawContent.aspx?id=FL022868","成功"
